meanI,meanJ,taoI,taoJ,kontras,Energy,Homogenitas,Correlation,Class
38.19913204,38.20973426,72.8116083,72.82216732,32.15447098,0.604572981,0.981158773,0.996967896,1
13.75516104,13.75331735,47.15274249,47.14929479,25.461988,0.846625676,0.991722364,0.994273624,1
39.63499173,39.62492256,71.87671775,71.86691644,35.07351273,0.578457682,0.978889604,0.99660508,1
29.69416263,29.69416263,64.69097827,64.69097827,18.7894496,0.678422175,0.986868453,0.997755102,1
51.18705701,51.18705701,74.57514753,74.57514753,42.82260851,0.46440769,0.975527254,0.996150052,1
35.50175019,35.51413574,74.60992868,74.62271261,28.04834222,0.657798973,0.987131058,0.997481136,1
47.44921109,47.44268875,81.37350539,81.36964561,61.4856507,0.54944743,0.976294094,0.995357008,1
36.68093033,36.68093033,74.49008451,74.49008451,67.5212811,0.641454687,0.981167357,0.993915656,1
14.73690901,14.73549602,52.02975877,52.02739661,35.3617781,0.854989104,0.993138605,0.993468392,1
17.47142928,17.47142928,54.90504181,54.90504181,37.68099275,0.822428255,0.994124967,0.993750175,1
37.33890528,37.33010713,72.04460983,72.03590312,41.71929827,0.614273407,0.982940089,0.995980659,1
22.45257814,22.45257814,60.08321203,60.08321203,40.12435923,0.766545953,0.99034628,0.994442598,1
36.20734189,36.22184658,72.00218705,72.01679672,26.19564331,0.630653893,0.985566406,0.997474121,1
22.31336091,22.30988762,57.2270994,57.22172756,16.40577208,0.749015362,0.98737428,0.997495028,1
13.74986509,13.73851978,50.3175579,50.29785141,25.97442597,0.865016819,0.996539664,0.994868571,1
32.93884883,32.92792135,69.79227913,69.78173001,21.4933317,0.663507495,0.985053172,0.997793419,1
8.220573773,8.215482461,37.29000174,37.27664839,31.55593149,0.907694094,0.995503028,0.988649397,1
14.50426757,14.50426757,49.92852593,49.92852593,34.92093959,0.847883391,0.992732022,0.992995802,1
22.34689975,22.34689975,57.43641591,57.43641591,30.09138868,0.749894994,0.986254551,0.995439236,1
49.70401811,49.69874775,81.85862489,81.85481977,52.17059656,0.526400522,0.973811941,0.996106979,1
15.08047698,15.08047698,49.60055322,49.60055322,33.06151869,0.835330764,0.991259818,0.993280766,1
63.31068677,63.32139613,93.03597461,93.04222759,20.67859656,0.449906192,0.988309388,0.998805581,1
42.34039183,42.34039183,75.18418893,75.18418893,40.80192138,0.574060374,0.972911315,0.996390911,1
16.64334983,16.63445902,51.95157168,51.936514,21.61414657,0.818790102,0.99175911,0.995994742,1
63.56652303,63.56132939,93.40195385,93.3991265,23.43458343,0.454079128,0.98939901,0.99865684,1
37.05764839,37.04894595,67.16058051,67.15216416,22.68719321,0.58111842,0.989463922,0.997484794,1
33.43124134,33.43475216,62.02616993,62.03032193,28.20190897,0.595968612,0.987089449,0.996335042,1
39.73787127,39.74576221,71.63213301,71.63946744,32.33248567,0.579553372,0.990389554,0.996849733,1
1.771169876,1.771169876,18.74608605,18.74608605,18.08622348,0.981834333,0.999006912,0.974266629,1
44.80111868,44.79087046,73.87792801,73.86997032,20.76771475,0.528865443,0.986925594,0.99809729,1
6.890248221,6.890248221,36.04955372,36.04955372,15.72761175,0.92999257,0.995967304,0.993948919,1
0.068575736,0.068641806,3.481708013,3.48333608,1.600756203,0.999158001,0.99990534,0.934005651,1
7.963431621,7.963431621,33.75825118,33.75825118,13.07047644,0.896286761,0.993841537,0.994265421,1
1.749186382,1.74927991,16.12282297,16.12351799,6.942585449,0.976446037,0.998641353,0.986646647,1
102.5376869,102.5475668,91.17187763,91.1712237,48.57937195,0.197569332,0.975272265,0.997077851,1
103.0759793,103.0636218,94.4415699,94.44159895,48.15240705,0.208797517,0.979979989,0.997300644,1
3.562516875,3.562516875,26.47117257,26.47117257,35.25011167,0.963376614,0.997534561,0.974847327,1
51.93980482,51.94961473,83.90557294,83.91213602,19.3584635,0.508118685,0.988383438,0.998625255,1
56.84712632,56.83663998,82.06084607,82.05466293,15.76910896,0.43347128,0.987022028,0.998829062,1
43.1325377,43.12577948,71.09428965,71.0884424,22.03555415,0.530803202,0.985772986,0.997819989,1
36.76725313,36.76725313,66.4521035,66.4521035,23.28573947,0.582881499,0.987961263,0.99736341,1
30.32517971,30.33211151,74.4744649,74.48154316,76.02810765,0.731100696,0.992751872,0.993146892,0
39.05262358,39.03033066,77.27803123,77.25601045,37.51942478,0.627408226,0.985252727,0.996857853,0
38.28204807,38.29422595,85.12778686,85.13840683,65.92038319,0.69178799,0.99537769,0.995452307,0
